City,Place,Review,Rating,Name,Date,Raw_Review
Aamby Valley City,19 Degree North,aamby valley beautiful place clear blue skies fresh green grass family visited aamby valley celebrate mother birthday mom splendid time thanks pinky bharadwaj handling booking bombay,8.0,Anonymous,,Aamby valley is a beautiful place with its clear blue skies and fresh green grass. My family and I visited aamby valley to celebrate my mother's birthday. My mom had the most splendid time. Thanks to Pinky Bharadwaj for handling our booking from Bombay. Together...
Abhaneri,Chand Baori (Step well),stop long stay long time undoubtedly best step wells india main travel itinerary relatively quiet free enter small tip,9.0,Anonymous,,This is a stop which may not take long but will stay with you for a very long time.  Undoubtedly one of the best step-wells in India it is not on the main travel itinerary. Relatively quiet and free to enter a small tip for...
Abhaneri,Harshat Mata Temple,travelled agra jaipur highway e nh bikaner agra nh times mesmerised beauty route surprisingly thought taking short diversions stopping check,8.0,Anonymous,,"We had travelled on the Agra Jaipur Highway i.e. NH21 (or Bikaner Agra NH21) many a times and had always been mesmerised by the beauty of the route. But surprisingly we had never thought of taking short diversions or stopping to check out. 

We were..."
Acharapakkam,Mazhai Malai Madha Shrine,hill shrines situated tamil nadu history place goes follows founder shrine arranged car procession honor blessed mother intercede good shower rain,9.0,Anonymous,,This is one of the few hill shrines situated in Tamil Nadu. The history of this place goes as follows. The founder of this shrine had arranged for a car procession in honor of Blessed Mother to intercede for the good shower of rain. When...
Acharapakkam,Achirupakkam,hindus common belief praying lord vinayaga ganesha starting rituals getting proved lord shiva forgot pray ganesha starting war demons chariot axle broken realizes completed ritual,4.0,Anonymous,,"Hindus common belief of praying Lord Vinayaga ( Ganesha) before starting any rituals is getting proved here. As Lord Shiva forgot to pray Ganesha before starting a war on the demons, his chariot's axle broken into two. Then he realizes and completed the ritual to..."
Achooranam,Wayanad Tea Museum,amazing experience month visited friends wayanad going banasura dam seen tea museum went wonderful saying story tea purchase tea products,8.0,Anonymous,,"It was amazing experience for me,last month I visited with my friends in Wayanad, while going to banasura dam we have seen tea museum we went there.It was wonderful because it saying the story of tea and here we can purchase tea products and They..."
Achrol,Moto Sport Park,dear thank taking time share valuable feedback trip advisor page happy note enjoyed rides activities feedback certainly motivate team members,8.0,Anonymous,,"Dear 

Thank you very much for taking the time to share your valuable feedback with us on our Trip Advisor page. We are very happy to note that you enjoyed our rides and activities. 

Your feedback will certainly motivate all our team members. It is..."
Adilabad,Basar Saraswati Temple,temple famous performing aksharabhyasam perform pooja goddess great rush people visit children blessed goddess saraswathi devi godavari river near temple,8.0,Anonymous,,The temple is famous for performing aksharabhyasam.They perform the pooja in front of the goddess.There will great rush.People visit to get their children blessed by goddess Saraswathi Devi.Godavari river is near the temple.
Adilabad,Sathnala Dam,went chilling noon pm waterywind feel hot nice place pass time selfies green water scenic look enjoy pleasant time,8.0,Anonymous,,"we went at chilling noon 2pm, but the waterywind  doesn't made us to feel hot , nice place to pass time and for selfies too..green water scenic ,have a look and enjoy pleasant time"
Adilabad,Kuntala Waterfall,times good spot enjoyed lot water fall really fun climbing rocks,8.0,Anonymous,,"We have been here for many times and and it is a very good spot, we enjoyed a lot there as water fall is really fun to see and climbing the rocks too"
Adilabad,Sivaram Wildlife Sanctuary,omg unbelievable place telangana yes place beautiful unexplored crocodiles went evening localite says afternoon visit place,8.0,Anonymous,,OMG...Unbelievable...Is this place in Telangana?  Yes...it is. What a place. Beautiful. Unexplored. We could not see Crocodiles as we went there in the evening..but localite says we can see them in the afternoon. Must visit place.
Adilabad,Pranahita Wildlife Sanctuary,want place happy enjoy family want appear deers care children,8.0,Anonymous,,"If you want me at this place you happy and there's you are doing enjoy more with your family if you want to see anywhere you will appear deers 
Take care children's"
Adilabad,Pochera Waterfalls,wonderful location visit place enjoyed lot greenery water trees falls attractive time easily passed,8.0,Anonymous,,"Wonderful location to visit this place.
Enjoyed a lot with greenery..and also with water.the trees around falls were very attractive..time easily passed"
Adilabad,Kawal Wildlife Sanctuary,kawal tiger sanctuary nice place visit anytime year summers extreme hot thats time lucky sightings visited times got lucky sight tiger stay haritha eco resort,8.0,Anonymous,,Kawal tiger sanctuary is a nice place to visit anytime of the year though summers are extreme hot but thats the time to get lucky for sightings.Visited more than 10 times but never got lucky to sight a tiger.Stay in Haritha Eco resort now it...
Adilabad,Kadile Papahareshwar Temple,great weather visit place really enjoyed friends thank god want visit time,8.0,Anonymous,,Great weather to visit this place I really enjoyed with my friends thank god I want to visit once more time
Adilabad,Kadam Dam,beautiful place spend time weekends accommodation available haritha resorts telangana tourism best time visit monsoon time,8.0,Anonymous,,Beautiful place to spend some time during the weekends.There is also accommodation available at Haritha Resorts of Telangana tourism.Best time to visit is during monsoon time.
Adilabad,Kalwa Narsimha Swamy Temple,kalwa narasimha swami temple beautiful temple lot people visiting daily tholi ekadasi day special attraction,8.0,Anonymous,,Kalwa narasimha swami temple is very beautiful temple and lot of people visiting daily at the tholi ekadasi day special attraction is there
Adilabad,Fun Park,indoor play house kids adults old bowling alley indoor cricket vr games soft play area arcade games party hall food court things,8.0,Anonymous,,"Indoor play house for kids , adults and old. Bowling alley, indoor cricket , VR games, soft play area, arcade games, party hall, food court and many things."
Adilabad,Gudem Satyanarayana Swamy Temple,nice weather great god peoples come villages temple really enjoyed friends thank god,8.0,Anonymous,,Nice weather great god so many peoples come Around The villages this Temple I really enjoyed with my friends thank you god
Adilabad,Jainath Temple,sri narayan swamy temple known jainath temple ancient temple built pallava chiefs temple popular jain style architecture village called jainath pillars inside temple extensive carved beautiful sculptures,8.0,Anonymous,,"Sri Narayan Swamy Temple also known as Jainath Temple is an ancient temple built by Pallava chiefs. This temple is also popular for its Jain style architecture, thus, the village is called Jainath. The pillars inside the temple are extensive carved with beautiful sculptures. The..."
Adilabad,Saptha Kund,yeah cool weather nice atmosphere ennamo place enjoy anymore place home,8.0,Anonymous,,Yeah cool weather nice atmosphere Ennamo this place to enjoy anymore just what's the place and go in your home
Adimaly,Indian Spices & Herbal Garden,good maintenance beautiful place really wonderful place place make extraordinary feel,8.0,Anonymous,,Very good maintenance and beautiful place. Really wonderful place. We see that place to make we get extraordinary feel.
Adipur,Somaiya Kala Vidya,took day embroidery class skv lovely experience got personal attention different teachers learned basic techniques soof rabari embroidery teachers staff skf kind,8.0,Anonymous,,"I took a 5 day embroidery class with SKV, and it was such a lovely experience. I got personal attention from 3 different teachers, and learned the basic techniques of Soof and Rabari embroidery. The teachers and staff at SKF are all so kind and..."
Adipur,Gandhi Samadhi,nice place quiet peace mind lovely garden walking track ashes gandhi visit u r adipur,8.0,Anonymous,,Nice place to see quiet peace of mind lovely garden walking track with ashes of gandhi must visit once u r in adipur
Adipur,Sant Lilashah Kutiya,outskirts town calm pleasant atmosphere good place relax nature evening,8.0,Anonymous,,It is in the outskirts of the town with calm and pleasant atmosphere.  It is a good place to relax and be with the nature in the evening when you have nothing else to do.
Adoni,Adoni Fort,wonderful place visited mantralayam easy reach apsrtc buses peaceful place bit climbing hanuman temple wonderful echo bells visit,8.0,Anonymous,,This is a wonderful place...visited here from Mantralayam..very easy to reach via APSRTC via buses....very peaceful place...bit of climbing to do...Hanuman temple at the top...wonderful echo of the bells from the top..!! Must visit
Adoor,Mannadi Devi Temple,mannadi pazhaya kavu bhagavathi temple goddess supreme power km adoor mannadi place note kerala history place veluthambi dalawa great freedom fighter given life,8.0,Anonymous,,"Mannadi pazhaya kavu is Bhagavathi temple. where Goddess is at supreme power.
It is around 15km from Adoor.

Mannadi , the place is having its note in Kerala history as the place where Veluthambi Dalawa, the great freedom fighter has given his life for the..."
Adoor,Trichennamangalam Mahadevar Temple,temple oldest temple near adoor nice calm place lot positive energy temple famous kettukazhcha attracted lots people year,8.0,Anonymous,,This temple is one of the oldest temple near adoor. It is a nice and calm place with lot of positive energy. This temple is famous for Kettukazhcha which is attracted by lots of people every year.
